saya|aku
acara|program
mendunia|terkenal diseluruh dunia
terkenal diseluruh dunia|mendunia
dermawan|gemar memberi
dermawan|senang memberi
gemar memberi|senang memberi
gemar memberi|dermawan
dermawan|senang memberi
dermawan|gemar memberi
kesegaran|kesejukan
kesejukan|kesegaran
nalar|logika
nalar|akal
logika|nalar
logika|akal
akal|nalar
akal|logika
teman|sahabat
sahabat|teman
agenda|rencana
rencana|agenda
goresan|ukiran
goresan|gesekan
gesekan|ukiran
gesekan|goresan
sebab|karena
sebab|alasannya adalah
sebab|alasannya
alasannya adalah|karena
alasannya adalah|sebab
alasannya adalah|alasannya
alasannya|karena
alasannya|sebab
alasannya|alasannya adalah
akibat|yang akan terjadi
akibat|hasil
yang akan terjadi|akibat
yang akan terjadi|hasil
hasil|akibat
hasil|yang akan terjadi
tentang|perihal
tentang|wacana
tentang|ihwal
perihal|tentang
perihal|wacana
perihal|ihwal
wacana|tentang
wacana|perihal
wacana|ihwal
ihwal|tentang
ihwal|perihal
ihwal|wacana
kendaraan beroda empat|mobil
mobil|kendaraan beroda empat
kera|monyet
monyet|kera
manusia|insan
insan|manusia
akal budi|kepandaian
akal budi|kemampuan berpikir
kepandaian|akal budi
kepandaian|kemampuan berpikir
kemampuan berpikir|akal budi
kemampuan berpikir|kepandaian
ilham|inspirasi
ilham|ide
ilham|pandangan baru
inspirasi|ilham
inspirasi|ide
inspirasi|pandangan baru
ide|ilham
ide|inspirasi
ide|pandangan baru
pandangan baru|ilham
pandangan baru|inspirasi
pandangan baru|ide
bisnis|urusan ekonomi
urusan ekonomi|bisnis
berkhasiat|berguna
berkhasiat|memiliki kegunaan
berguna|berkhasiat
berguna|memiliki kegunaan
memiliki kegunaan|berkhasiat
memiliki kegunaan|berguna
tulisan|goresan pena
goresan pena|tulisan
jika|kalau
jika|jikalau
jika|bila
kalau|jika
kalau|jikalau
kalau|bila
jikalau|jika
jikalau|kalau
jikalau|bila
bila|jika
bila|kalau
bila|jikalau
termakan|tergoda
termakan|terpengaruhi
tergoda|termakan
tergoda|terpengaruhi
terpengaruhi|termakan
terpengaruhi|tergoda
rupawan|indah
rupawan|mengagumkan
rupawan|cantik
rupawan|bagus
indah|rupawan
indah|mengagumkan
indah|cantik
indah|bagus
mengagumkan|rupawan
mengagumkan|indah
mengagumkan|cantik
mengagumkan|bagus
cantik|rupawan
cantik|indah
cantik|mengagumkan
cantik|bagus
bagus|rupawan
bagus|indah
bagus|mengagumkan
bagus|cantik
ganteng|tampan
tampan|ganteng
persoalan|masalah
persoalan|duduk perkara
persoalan|problem
persoalan|dilema
masalah|persoalan
masalah|duduk perkara
masalah|problem
masalah|dilema
duduk perkara|persoalan
duduk perkara|masalah
duduk perkara|problem
duduk perkara|dilema
problem|persoalan
problem|masalah
problem|duduk perkara
problem|dilema
dilema|persoalan
dilema|masalah
dilema|duduk perkara
dilema|problem
menawarkan|memberikan
menawarkan|menunjukkan
menawarkan|memperlihatkan
memberikan|menawarkan
memberikan|menunjukkan
memberikan|memperlihatkan
menunjukkan|menawarkan
menunjukkan|memberikan
menunjukkan|memperlihatkan
memperlihatkan|menawarkan
memperlihatkan|memberikan
memperlihatkan|menunjukkan
berita|isu
berita|gosip
berita|informasi
berita|info
isu|berita
isu|gosip
isu|informasi
isu|info
gosip|berita
gosip|isu
gosip|informasi
gosip|info
informasi|berita
informasi|isu
informasi|gosip
informasi|info
info|berita
info|isu
info|gosip
info|informasi
relasi|hubungan
relasi|kekerabatan
relasi|korelasi
hubungan|relasi
hubungan|kekerabatan
hubungan|korelasi
kekerabatan|relasi
kekerabatan|hubungan
kekerabatan|korelasi
korelasi|relasi
korelasi|hubungan
korelasi|kekerabatan
sentra|pusat
pusat|sentra
optimasi|meningkatkan secara optimal
meningkatkan secara optimal|optimasi
sempurna|tepat
tepat|sempurna
mandiri|berdikari
mandiri|mampu berdiri diatas kaki sendiri
berdikari|mandiri
berdikari|mampu berdiri diatas kaki sendiri
mampu berdiri diatas kaki sendiri|mandiri
mampu berdiri diatas kaki sendiri|berdikari
jelas|terang
jelas|terperinci
terang|jelas
terang|terperinci
terperinci|jelas
terperinci|terang
pujian|kebanggaan
kebanggaan|pujian
cita-cita|impian
cita-cita|harapan
cita-cita|keinginan
cita-cita|asa
cita-cita|hasrat
impian|cita-cita
impian|harapan
impian|keinginan
impian|asa
impian|hasrat
harapan|cita-cita
harapan|impian
harapan|keinginan
harapan|asa
harapan|hasrat
keinginan|cita-cita
keinginan|impian
keinginan|harapan
keinginan|asa
keinginan|hasrat
asa|cita-cita
asa|impian
asa|harapan
asa|keinginan
asa|hasrat
hasrat|cita-cita
hasrat|impian
hasrat|harapan
hasrat|keinginan
hasrat|asa
klasifikasi|pembagian terstruktur mengenai
klasifikasi|penjabaran
pembagian terstruktur mengenai|penjabaran
pembagian terstruktur mengenai|klasifikasi
penjabaran|pembagian terstruktur mengenai
penjabaran|klasifikasi
tuhan|yang kuasa
tuhan|ilahi
yang kuasa|tuhan
yang kuasa|ilahi
ilahi|tuhan
ilahi|yang kuasa
arak|bir
arak|minuman beralkohol
arak|minuman memabukan
bir|arak
bir|minuman beralkohol
bir|minuman memabukan
minuman beralkohol|arak
minuman beralkohol|bir
minuman beralkohol|minuman memabukan
minuman memabukan|arak
minuman memabukan|bir
minuman memabukan|minuman beralkohol
duka|sedih
sedih|duka
belia|muda
muda|belia
acak|tak terencana
tak terencana|acak
media sosial|media umum
media umum|media sosial
suara|bunyi
bunyi|suara
diperlukan|diharapkan
diperlukan|dibutuhkan
diharapkan|diperlukan
diharapkan|dibutuhkan
dibutuhkan|diperlukan
dibutuhkan|diharapkan
damai|tenang
damai|hening
tenang|damai
tenang|hening
hening|damai
hening|tenang
perjuangan|usaha
usaha|perjuangan
menerima|mendapatkan
mendapatkan|menerima
menyampaikan|memberikan
memberikan|menyampaikan
kandang|sangkar
sangkar|kandang
telinga|indera pendengaran
telinga|pendengaran
indera pendengaran|telinga
indera pendengaran|pendengaran
pendengaran|telinga
pendengaran|indera pendengaran
sejak|semenjak
semenjak|sejak
saat|ketika
saat|dikala
ketika|saat
ketika|dikala
dikala|ketika
dikala|dikala
aliran|peredaran
aliran|sirkulasi
peredaran|aliran
peredaran|sirkulasi
sirkulasi|aliran
sirkulasi|peredaran
menjelma|bermetamorfosis
menjelma|berubah menjadi
menjelma|berkembang menjadi
bermetamorfosis|bermetamorfosis
bermetamorfosis|berubah menjadi
bermetamorfosis|berkembang menjadi
berubah menjadi|bermetamorfosis
berubah menjadi|bermetamorfosis
berubah menjadi|berkembang menjadi
berkembang menjadi|bermetamorfosis
berkembang menjadi|bermetamorfosis
berkembang menjadi|berubah menjadi
mulut|lisan
mulut|verbal
mulut|ekspresi
lisan|mulut
lisan|verbal
lisan|ekspresi
verbal|mulut
verbal|lisan
verbal|ekspresi
ekspresi|mulut
ekspresi|lisan
ekspresi|verbal
lidah|pengecap
pengecap|lidah
karam|tenggelam
tenggelam|karam
trend|animo
trend|musim
trend|demam isu
trend|ekspresi dominan
trend|isu terkini
animo|trend
animo|musim
animo|demam isu
animo|ekspresi dominan
animo|isu terkini
musim|trend
musim|animo
musim|demam isu
musim|ekspresi dominan
musim|isu terkini
demam isu|trend
demam isu|animo
demam isu|musim
demam isu|ekspresi dominan
demam isu|isu terkini
ekspresi dominan|trend
ekspresi dominan|animo
ekspresi dominan|musim
ekspresi dominan|demam isu
ekspresi dominan|isu terkini
isu terkini|trend
isu terkini|animo
isu terkini|musim
isu terkini|demam isu
isu terkini|ekspresi dominan
kuesioner|survey
kuesioner|informasi lapangan
kuesioner|berita umum
survey|kuesioner
survey|informasi lapangan
survey|berita umum
informasi lapangan|kuesioner
informasi lapangan|survey
informasi lapangan|berita umum
berita umum|kuesioner
berita umum|survey
berita umum|informasi lapangan
dominan|mayoritas
dominan|lebih banyak didominasi
dominan|secara umum dikuasai
mayoritas|dominan
mayoritas|lebih banyak didominasi
mayoritas|secara umum dikuasai
lebih banyak didominasi|dominan
lebih banyak didominasi|mayoritas
lebih banyak didominasi|secara umum dikuasai
secara umum dikuasai|dominan
secara umum dikuasai|mayoritas
secara umum dikuasai|lebih banyak didominasi
tabah|sabar
sabar|tabah
kawasan|daerah
kawasan|tempat
daerah|kawasan
daerah|tempat
tempat|kawasan
tempat|daerah
kuliner|masakan
masakan|kuliner
membisu|diam
diam|membisu
trauma|stress berat
trauma|syok
stress berat|trauma
stress berat|syok
syok|trauma
syok|stress berat
informasi|berita
berita|informasi
habitat|tempat asal
habitat|tempat asli
habitat|daerah asal
tempat asal|daerah asal
tempat asal|tempat asli
tempat asal|habitat
tempat asli|daerah asal
tempat asli|tempat asal
tempat asli|habitat
daerah asal|daerah asal
daerah asal|tempat asli
daerah asal|habitat
gugusan|formasi
gugusan|deretan
gugusan|perpaduan
gugusan|kumpulan
formasi|gugusan
formasi|deretan
formasi|perpaduan
formasi|kumpulan
deretan|gugusan
deretan|formasi
deretan|perpaduan
deretan|kumpulan
perpaduan|gugusan
perpaduan|formasi
perpaduan|deretan
perpaduan|kumpulan
kumpulan|gugusan
kumpulan|formasi
kumpulan|deretan
kumpulan|perpaduan
hikmah|pesan tersirat
hikmah|pesan yang tersirat
hikmah|nasihat
pesan tersirat|hikmah
pesan tersirat|pesan yang tersirat
pesan tersirat|nasihat
pesan yang tersirat|hikmah
pesan yang tersirat|pesan tersirat
pesan yang tersirat|nasihat
nasihat|hikmah
nasihat|pesan tersirat
nasihat|pesan yang tersirat
kalem|santai
santai|kalem
karma|hukuman alam
hukuman alam|karma
menghipnotis|mensugesti
menghipnotis|mempengaruhi
mensugesti|menghipnotis
mensugesti|mempengaruhi
mempengaruhi|menghipnotis
mempengaruhi|mensugesti
menggoda|menarik hati
menarik hati|menggoda
abadi|tak pernah mati
abadi|kekal
tak pernah mati|abadi
tak pernah mati|kekal
kekal|abadi
kekal|tak pernah mati
absolut|pasti
absolut|sempurna
pasti|absolut
pasti|sempurna
sempurna|absolut
sempurna|pasti
abang|kakak
abang|saudara tertua
kakak|abang
kakak|saudara tertua
saudara tertua|abang
saudara tertua|kakak
abstrak|tak berbentuk
tak berbentuk|abstrak
eksklusif|langsung
eksklusif|pribadi
langsung|eksklusif
langsung|pribadi
pribadi|eksklusif
pribadi|langsung
udik|ndeso
udik|terbelakang
udik|bodoh
udik|kurang pandai
udik|kolot
ndeso|udik
ndeso|terbelakang
ndeso|bodoh
ndeso|kurang pandai
ndeso|kolot
terbelakang|udik
terbelakang|ndeso
terbelakang|bodoh
terbelakang|kurang pandai
terbelakang|kolot
bodoh|udik
bodoh|ndeso
bodoh|terbelakang
bodoh|kurang pandai
bodoh|kolot
kurang pandai|udik
kurang pandai|ndeso
kurang pandai|terbelakang
kurang pandai|bodoh
kurang pandai|kolot
kolot|udik
kolot|ndeso
kolot|terbelakang
kolot|bodoh
kolot|kurang pandai
berkala|bersiklus
berkala|terpola
berkala|terencana
berkala|terjadwal
bersiklus|berkala
bersiklus|terpola
bersiklus|terencana
bersiklus|terjadwal
terpola|berkala
terpola|bersiklus
terpola|terencana
terpola|terjadwal
terencana|berkala
terencana|bersiklus
terencana|terpola
terencana|terjadwal
terjadwal|berkala
terjadwal|bersiklus
terjadwal|terpola
terjadwal|terencana
eksistensi|keberadaan
keberadaan|eksistensi
beradaptasi|menyesuaikan diri
beradaptasi|mengikuti keadaan
menyesuaikan diri|beradaptasi
menyesuaikan diri|mengikuti keadaan
mengikuti keadaan|beradaptasi
mengikuti keadaan|menyesuaikan diri
diadaptasi|disesuaikan
diadaptasi|diubahsuaikan
disesuaikan|diadaptasi
disesuaikan|diubahsuaikan
diubahsuaikan|diadaptasi
diubahsuaikan|disesuaikan
adat|tata cara
adat|istiadat
adat|norma
tata cara|adat
tata cara|istiadat
tata cara|norma
istiadat|adat
istiadat|tata cara
istiadat|norma
norma|adat
norma|tata cara
norma|istiadat
adik|saudara termuda
saudara termuda|adik
advokat|pengacara
advokat|pembela terdakwa resmi
pengacara|advokat
pengacara|pembela terdakwa resmi
pembela terdakwa resmi|advokat
pembela terdakwa resmi|pengacara
seram|angker
seram|menakutkan
seram|menyeramkan
angker|seram
angker|menakutkan
angker|menyeramkan
menakutkan|seram
menakutkan|angker
menakutkan|menyeramkan
menyeramkan|seram
menyeramkan|angker
menyeramkan|menakutkan
berafiliasi|berhubungan
berafiliasi|bekerjasama
berhubungan|berafiliasi
berhubungan|bekerjasama
bekerjasama|berafiliasi
bekerjasama|berhubungan
acapkali|seringkali
acapkali|sering
acapkali|tak jarang
seringkali|acapkali
seringkali|sering
seringkali|tak jarang
sering|acapkali
sering|seringkali
sering|tak jarang
tak jarang|acapkali
tak jarang|seringkali
tak jarang|sering
adalah|ialah
adalah|merupakan
adalah|artinya
ialah|adalah
ialah|merupakan
ialah|artinya
merupakan|adalah
merupakan|ialah
merupakan|artinya
artinya|adalah
artinya|ialah
artinya|merupakan
bundar|bulat
bundar|lingkaran
bulat|bundar
bulat|lingkaran
lingkaran|bundar
lingkaran|bulat
seorang ahli|spesialis
spesialis|seorang ahli
agresi|serangan
serangan|agresi
agresi|serangan
serangan|agresi
agresif|proaktif
proaktif|agresif
strategi|taktik
strategi|seni manajemen
taktik|strategi
taktik|seni manajemen
seni manajemen|strategi
seni manajemen|taktik
dapat diandalkan|dapat dipercaya
dapat diandalkan|sanggup menerima amanah
dapat diandalkan|dapat mengemban amanah
dapat dipercaya|dapat diandalkan
dapat dipercaya|sanggup menerima amanah
dapat dipercaya|dapat mengemban amanah
sanggup menerima amanah|dapat diandalkan
sanggup menerima amanah|dapat dipercaya
sanggup menerima amanah|dapat mengemban amanah
dapat mengemban amanah|dapat diandalkan
dapat mengemban amanah|dapat dipercaya
dapat mengemban amanah|sanggup menerima amanah
abrasi|pengikisan
pengikisan|abrasi
Abrasi|Pengikisan
Absah|Sah
Absolut|Mutlak
Absurd|Janggal
Acum|Rujukan
Ad interim|Sementara
Adjektiva|Kata sifat
Afeksi|Kasih sayang
Agresi|Serangan
Agunan|Jaminan
Ahli|Pakar
Akselerasi|Percepatan
Akurat|Seksama
Almanak|Penanggalan
Ambiguitas|Bermakna ganda
Andal|Tangguh
Anemia|Kurang darah
Anggaran|Aturan
Anjung|Panggung
Antagonis|Berlawanan
Anulir|Abolisi
Api|Barah
Aplikasi|Pelaksanaan
Arogan|Sombong
Artis|Seniman
Asa|Harapan
Asterik|Tanda bintang
Asumsi|Anggapan
Bahari|Laut
Bahtera|Perahu
Bala|Bencana
Bandela|Peti kemas
Barbar|Tidak beradab
Berdikari|Mandiri
Bergaul|Berteman
Berongsang|Marah-marah
Berpretensi|Prasangka
Bhineka|Berbeda-beda
Bicu|Dongkrak
Biologi|Hayati
Bisa|Dapat
Boga|Makanan kenikmatan
Bonafide|Dapat dipercaya
Bromocorah|Residivis
Bubut|Cabut
Bukti diri|Identitas
Bungalow|Pesanggrahan
Bura|Sembur
Burkak|Cadar
Centeng|Body guard
Citra|Gambaran
Copyright|Hak cipta
Dampak|Akibat
Darma|Pengabdian
Daur|Siklus
Deduksi|Konklusi
Defleksi|Penyimpangan
Dehidrasi|Kehilangan cairan tubuh
Dekade|Dasa warsa
Dekadensi|Kemerosotan moral
Delusi|Ilusi
Demagog|Tiran
Demisioner|Habis masa jabatan
Deportasi|Pembuangan ke luar negeri
Derivasi|Afiksasi
Deskripsi|Pelukisan
Diagnosis|Penaksiran
Dialog|Obrolan
Dikotomi|Dibagi dua
Dinamis|Bergerak maju
Disharmoni|Tidak selaras
Diskriminasi|Subordinat
Disorientasi|Salah tujuan
Disparitas|Perbedaan
Dispensasi|Pengecualian
Ditenggak|Ditelan bulat-bulat
Divestasi|Pelepasan
Dominasi|Penguasaan
Donasi|Bantuan
Dosis|Takaran
Dursila|Jahat
Ebi|Udang kering
Ebonit|Kayu hitam
Ekonomis|Hemat
Eksibisi|Perunjukan
Ekskavasi|Penggalian
Eksklusif|Tertentu
Ekspansi|Perluasan
Eksploitasi|Pendayagunaan
Ekspresi|Aktualisasi diri
Ekstensi|Perluasan
Ekuilibrium|Keseimbangan
Elaborasi|Penjelasan terperinci
Embargo|Larangan
Embarkasi|Keberangkatan
Empati|Ikut merasakan
Empiris|Realitas
Endemi|Wabah
Epilog|Penutup
Ereksi|Birahi
Estetika|Keindahan
Estimasi|Perkiraan
Etos|Pandangan hidup
Evakuasi|Pengungsian
Evaluasi|Penilaian
Evokasi|Penggugah rasa
Fauna|Hewan
Fenomena|Kenyataan
Fertile|Subur
File|Arsip
Fitnah|Rekaan
Flegmatis|Bertemperamen lamban
Flora|Tanaman
Forum|Lembaga
Frekuwensi|Sinyal
Friksi|Bentrokan
Frustasi|Putus Harapan
Fundamental|Mendasar
Fungi|Jamur
Fusi|Gabugan
Futuristis|Menuju masa depan
Galat|Keliru
Gemar|Getol
Generik|Umum
Genjah|Cepat berbuah
Genre|Aliran
Geothermal|Panas bumi
Getir|Pahit
Global|Dunia
Glosarium|Kamus ringkas
Gongseng|Sangrai
Grasi|Pengampunan hukuman dari presiden
Green belt|Jalur hijau
Harmonis|Serasi
Harta benda|Mal
Hayati|Hidup
Hedonisme|Hura-hura
Hegemoni|Intervensi
Hepotenusa|Sisi miring
Herbi|Berhubungan dengan tumbuh-tumbuhan
Heroisme|Jiwa kepahlawanan
Heterogen|Tidak sejenis
Higienis|Bersih
Hiperbola|Berlebihan
Holistik|Keseluruhan
Homogen|Sejenis
Huma|Lahan
Humanisme|Kemanusiaan
Identitas|Bukti diri
Imbas|Efek
Imbasan|Isapan
Implikasi|Akibat
Implisit|Tersirat
Impulsif|Spontan
Indolen|Lesu
Infiltrasi|Penyusupan
Inheren|Melekat
Injeksi|Suntik
Inovasi|Penemuan
Insentif|Bonus
Insinuasi|Sindiran
Insomnia|Tidak bisa tidur
Inspeksi|Pemeriksaan
Insting|Naluri
Instruktur|Pelatih
Instrumental|Fragmental
Interaksi|Hubungan
Interpelasi|Hak bertanya
Intuisi|Bisikan Hati
Invasi|Pencaplokan
Investigasi|Pemeriksaan
Ironi|Bertentangan dengan harapan
Iterasi|Perulangan
Jajak|Telaah
Jargon|Slogan
Jeda|Jarak
Jemawa|Angkuh
Jumantara|Awang-awang
Kaldera|Kawah
Kampiun|Juara
Kapital|Modal
Kapling|Tanah yang sudah dipetak-petak
Karakteristik|Ciri
Karat|Zat oksidasi
Karnivora|Hewan pemakan daging
Kawat|Dawai
Kecenderungan|Kesamaan
Kedap|Rapat
Kekeh|Gelak tawa
Kelenger|Pingsan
Keletah|Genit
Kendala|Hambatan
Khayalan|Imajinasi
Kisi-kisi|Terali
Klarifikasi|Penjelasan
Klimaks|Titik puncak
Kolaborasi|Kerja sama
Kolong|Rongga di bawah rumah
Komedi|Lawak
Kompatriot|Rekan senegara
Kompendium|Ringkasan
Komplotan|Persekutuan
Konduite|Perilaku
Kondusif|Aman
Konfiden|Yakin
Konfrontasi|Pertikaian
Konkaf|Cekung
Konklusi|Kesimpulan
Konkret|Nyata
Konkurensi|Sengketa
Konsensus|Mufakat
Konservasi|Perlindungan
Konspirasi|Persekongkolan
Konstan|Kontinu
Kontemporer|Pada masa ini
Kontiniu|Bersambung
Kontradiksi|Pertentangan
Konveks|Cembung
Konvoi|Pergerakan
Korelasi|Hubungan
Koreografi|Ilmu tari
Kreasi|Ciptaan
Kredibel|Andal
Kredibilitas|Dapat dipercaya
Krusial|Penting
Kudeta|Perebutan kekuasaan
Kudus|Suci
Kuliner|Masakan
Kulminasi|Klimaks
Kuno|Antik
Laba|Keuntungan
Landskap|Pertamanan
Latif|Indah
Legal|Sah
Liga|Perserikatan
Loka|Tempat
Majemuk|Beragam
Makar|Muslihat
Makelar|Pialang
Mal|Harta benda
Mala|Bencana
Manunggal|Bersatu
Mayapada|Dunia
Mediator|Perantara
Mekar|Mengembang
Mengecoh|Mengakali
Militan|Agresif
Misteri|Rahasia
Mistifikasi|Sakralisasi
Mistik|Gaib
Mitra|Kawan
Mixer|Aduk-aduk
Mobilitas|Gerak
Model|Contoh
Monoton|Terus-menerus
Motilitas|Gerak
Mudun|Beradab
Mutakhir|Terkini
Mutakhir|Terkini
Mutilasi|Pemotongan
Nabati|Botani
Naratif|Terinci
Nir|Tidak
Nisbi|Relatif
Niscaya|Pasti
Norma|kebiasaan
Nuansa|Perbedaan makna
Omnivora|Hewan pemakan daging dan tumbuh-tumbuhan
Opas|Pesuruh
Oral|Berkaitan dengan mulut
Orisinil|Asli
Ortodok|Konservatif
Otodidak|Belajar sendiri
Oval|Bulat telur
Pangkas|Potong
Paparan|Gambaran
Paradigma|Kerangka berpikir
Paradoks|Lawan asas
Paradoksal|Kontras
Paras|Wajah
Paripurna|Sempurna
Partikelir|Swasta
Paseban|Penghadapan
Pedagogi|Pengajaran
Pedoman|Panduan
Pembatasan|Restriksi
Pemugaran|Perbaikan
Pencerahan|Kesadaran
Perdeo|Gratis
Perforasi|Perlubangan
Perlop|Cuti
Pingsan|Kelenger
Pioner|Perintis
Plagiator|Penjiplak
Planning|Rencana
Poly|Banyak
Preman|Partikelir
Premi|Iuran pertanggungan asuransi
Preposisi|Kata depan
Prestise|Martabat
Pretensi|Pura-pura
Primer|Utama
Prominen|Kondang
Promotor|Penganjur
Prosedur|Mekanisme
Proteksi|Perlindungan
Protesis|Buatan
Rabat|Potongan harga
Rahib|Pendeta
Ralat|Pembetulan
Rambang|Acak
Rancu|Kacau
Random|Secara acak
Rapel|Pembayaran sekaligus
Rapuh|Ringkih
Ratifikasi|Pengesahan
Referensi|Surat keterangan
Relasi|Rekanan
Rendezvous|Pertemuan
Residu|Sisa
Restriksi|Pembatasan
Ringkih|Rapuh
Risi|Khawatir
Romansa|Kisah cinta
Rona|Warna
Sahih|Benar
Sandang|Pakaian
Sanksi|Hukuman
Sapta|Bilangan
Sasana|Gelanggang
Selebaran|Risalah
Semboyan|Slogan
Serebrum|Otak besar
Seremoni|Perayaan
Serikat|Perkumpulan
Sine qua non|Harus ada
Sinkron|Sesuai
Sintesis|Buatan
Somasi|Gugatan
Sosialisasi|Pengenalan
Spesifik|Khusus
Sporadis|Jarang
Stagnasi|Kemacetan
Standar|Baku
Statis|Tidak aktif
Stigma|Cacat
Strata|Tingkatan
Strategi|Taktik
Sumbang|Tidak sinkron
Supervisi|Pengawasan
Sutradara|Pengarah adegan
Swatantra|Otonomi
Syahdan|Konon
Ta’aruf|Perkenalan
Tabiat|Watak
Talenta|Bakat
Tandang|Lawatan
Tanggal|Lepas
Tangkal|Cegah
Tanur|Perapian
Taraf|Tingkat
Target|Sasaran
Telatah|Gerak-gerik
Tendensi|Kecenderungan
Tentatif|Belum pasti
Termin|Tahap
Timpang|Tak seimbang
Tiran|Diktator
Trail|Kisi-kisi
Transedental|Kesinambungan
Trobadur|Penyanyi lagu cinta
Vandalisme|Destruksi
Ventilasi|Jendela
Verifikasi|Pembuktian
Versus|Lawan
Wahana|Sarana
Warta|Berita
Pengikisan|Abrasi 
Sah|Absah 
Mutlak|Absolut 
Janggal|Absurd 
Rujukan|Acum 
Sementara|Ad interim 
Kata sifat|Adjektiva 
Kasih sayang|Afeksi 
Serangan|Agresi 
Jaminan|Agunan 
Pakar|Ahli 
Percepatan|Akselerasi 
Seksama|Akurat 
Penanggalan|Almanak 
Bermakna ganda|Ambiguitas 
Tangguh|Andal 
Kurang darah|Anemia 
Aturan|Anggaran 
Panggung|Anjung 
Berlawanan|Antagonis 
Abolisi|Anulir 
Barah|Api 
Pelaksanaan|Aplikasi 
Sombong|Arogan 
Seniman|Artis 
Harapan|Asa 
Tanda bintang|Asterik 
Anggapan|Asumsi 
Laut|Bahari 
Perahu|Bahtera 
Bencana|Bala 
Peti kemas|Bandela 
Tidak beradab|Barbar 
Mandiri|Berdikari 
Berteman|Bergaul 
Marah-marah|Berongsang 
Prasangka|Berpretensi 
Berbeda-beda|Bhineka 
Dongkrak|Bicu 
Hayati|Biologi 
Dapat|Bisa 
Makanan kenikmatan|Boga 
Dapat dipercaya|Bonafide 
Residivis|Bromocorah 
Cabut|Bubut 
Identitas|Bukti diri 
Pesanggrahan|Bungalow 
Sembur|Bura 
Cadar|Burkak 
Body guard|Centeng 
Gambaran|Citra 
Hak cipta|Copyright 
Akibat|Dampak 
Pengabdian|Darma 
Siklus|Daur 
Konklusi|Deduksi 
Penyimpangan|Defleksi 
Kehilangan cairan tubuh|Dehidrasi 
Dasa warsa|Dekade 
Kemerosotan moral|Dekadensi 
Ilusi|Delusi 
Tiran|Demagog 
Habis masa jabatan|Demisioner 
Pembuangan ke luar negeri|Deportasi 
Afiksasi|Derivasi 
Pelukisan|Deskripsi 
Penaksiran|Diagnosis 
Obrolan|Dialog 
Dibagi dua|Dikotomi 
Bergerak maju|Dinamis 
Tidak selaras|Disharmoni 
Subordinat|Diskriminasi 
Salah tujuan|Disorientasi 
Perbedaan|Disparitas 
Pengecualian|Dispensasi 
Ditelan bulat-bulat|Ditenggak 
Pelepasan|Divestasi 
Penguasaan|Dominasi 
Bantuan|Donasi 
Takaran|Dosis 
Jahat|Dursila 
Udang kering|Ebi 
Kayu hitam|Ebonit 
Hemat|Ekonomis 
Perunjukan|Eksibisi 
Penggalian|Ekskavasi 
Tertentu|Eksklusif 
Perluasan|Ekspansi 
Pendayagunaan|Eksploitasi 
Aktualisasi diri|Ekspresi 
Perluasan|Ekstensi 
Keseimbangan|Ekuilibrium 
Penjelasan terperinci|Elaborasi 
Larangan|Embargo 
Keberangkatan|Embarkasi 
Ikut merasakan|Empati 
Realitas|Empiris 
Wabah|Endemi 
Penutup|Epilog 
Birahi|Ereksi 
